classifier,best_params,best_score,best_accuracy,accuracy,confusion_matrix,n,p,tn,fp,fn,tp,runtime
linear,"{'C': 0.0001, 'kernel': 'linear'}",0.9291666666666667,"{'0': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3.0}, '1': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 3.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.875, 'recall': 0.8333333333333333, 'f1-score': 0.8285714285714285, 'support': 6.0}, 'weighted avg': {'precision': 0.875, 'recall': 0.8333333333333334, 'f1-score': 0.8285714285714286, 'support': 6.0}}",0.8333333333333334,"[[3 0]
 [1 2]]",24,24,3,0,1,2,0 days 00:00:13.383729
poly,"{'C': 0.3265, 'kernel': 'poly'}",0.95,"{'0': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 0.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.5, 'recall': 0.4166666666666667, 'f1-score': 0.45454545454545453, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6.0}}",0.8333333333333334,"[[0 0]
 [1 5]]",24,24,0,0,1,5,0 days 00:00:13.460990
sigmoid,"{'C': 0.9961, 'kernel': 'sigmoid'}",0.7250000000000001,"{'0': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3.0}, '1': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 3.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.875, 'recall': 0.8333333333333333, 'f1-score': 0.8285714285714285, 'support': 6.0}, 'weighted avg': {'precision': 0.875, 'recall': 0.8333333333333334, 'f1-score': 0.8285714285714286, 'support': 6.0}}",0.8333333333333334,"[[3 0]
 [1 2]]",24,24,3,0,1,2,0 days 00:00:13.756090
random_forest,"{'bootstrap': True, 'max_depth': 4, 'max_features': 2, 'n_estimators': 10}",0.9791666666666667,"{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}}",1.0,"[[3 0]
 [0 3]]",24,24,3,0,0,3,0 days 00:00:01.087395
