classifier,best_params,best_score,best_accuracy,accuracy,confusion_matrix,n,p,tn,fp,fn,tp,runtime
linear,"{'C': 0.00030000000000000003, 'kernel': 'linear'}",0.95,"{'0': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 2.0}, '1': {'precision': 1.0, 'recall': 0.75, 'f1-score': 0.8571428571428571, 'support': 4.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.8333333333333333, 'recall': 0.875, 'f1-score': 0.8285714285714285, 'support': 6.0}, 'weighted avg': {'precision': 0.8888888888888888, 'recall': 0.8333333333333334, 'f1-score': 0.8380952380952381, 'support': 6.0}}",0.8333333333333334,"[[3 1]
 [0 2]]",24,24,3,1,0,2,0 days 00:00:13.528958
rbf,"{'C': 0.0001, 'gamma': 0.060000000000000005, 'kernel': 'rbf'}",0.5083333333333333,"{'0': {'precision': 0.5, 'recall': 0.6666666666666666, 'f1-score': 0.5714285714285715, 'support': 3.0}, '1': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.48571428571428577, 'support': 6.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.48571428571428577, 'support': 6.0}}",0.5,"[[1 2]
 [1 2]]",24,24,1,2,1,2,0 days 00:04:34.908575
poly,"{'C': 0.1169, 'kernel': 'poly'}",0.9291666666666667,"{'0': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 2.0}, '1': {'precision': 1.0, 'recall': 0.75, 'f1-score': 0.8571428571428571, 'support': 4.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.8333333333333333, 'recall': 0.875, 'f1-score': 0.8285714285714285, 'support': 6.0}, 'weighted avg': {'precision': 0.8888888888888888, 'recall': 0.8333333333333334, 'f1-score': 0.8380952380952381, 'support': 6.0}}",0.8333333333333334,"[[3 1]
 [0 2]]",24,24,3,1,0,2,0 days 00:00:13.363595
sigmoid,"{'C': 0.9334, 'kernel': 'sigmoid'}",0.5750000000000001,"{'0': {'precision': 0.3333333333333333, 'recall': 1.0, 'f1-score': 0.5, 'support': 2.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4.0}, 'accuracy': 0.3333333333333333, 'macro avg': {'precision': 0.16666666666666666, 'recall': 0.5, 'f1-score': 0.25, 'support': 6.0}, 'weighted avg': {'precision': 0.1111111111111111, 'recall': 0.3333333333333333, 'f1-score': 0.16666666666666666, 'support': 6.0}}",0.3333333333333333,"[[0 4]
 [0 2]]",24,24,0,4,0,2,0 days 00:00:13.751067
random_forest,"{'bootstrap': True, 'max_depth': 3, 'max_features': 4, 'n_estimators': 50}",0.9541666666666666,"{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 4.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}}",1.0,"[[2 0]
 [0 4]]",24,24,2,0,0,4,0 days 00:00:01.206138
