classifier,best_params,best_score,best_accuracy,accuracy,confusion_matrix,n,p,tn,fp,fn,tp,runtime
linear,"{'C': 0.0004, 'kernel': 'linear'}",0.9541666666666667,"{'0': {'precision': 0.5, 'recall': 1.0, 'f1-score': 0.6666666666666666, 'support': 1.0}, '1': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.888888888888889, 'support': 5.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.7777777777777778, 'support': 6.0}, 'weighted avg': {'precision': 0.9166666666666666, 'recall': 0.8333333333333334, 'f1-score': 0.851851851851852, 'support': 6.0}}",0.8333333333333334,"[[4 1]
 [0 1]]",24,24,4,1,0,1,0 days 00:00:13.471387
rbf,"{'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}",0.525,"{'0': {'precision': 0.3333333333333333, 'recall': 1.0, 'f1-score': 0.5, 'support': 2.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4.0}, 'accuracy': 0.3333333333333333, 'macro avg': {'precision': 0.16666666666666666, 'recall': 0.5, 'f1-score': 0.25, 'support': 6.0}, 'weighted avg': {'precision': 0.1111111111111111, 'recall': 0.3333333333333333, 'f1-score': 0.16666666666666666, 'support': 6.0}}",0.3333333333333333,"[[0 4]
 [0 2]]",24,24,0,4,0,2,0 days 00:04:33.436629
poly,"{'C': 0.1408, 'kernel': 'poly'}",0.9791666666666667,"{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 4.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}}",1.0,"[[4 0]
 [0 2]]",24,24,4,0,0,2,0 days 00:00:13.369128
sigmoid,"{'C': 0.0001, 'kernel': 'sigmoid'}",0.55,"{'0': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, '1': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 3.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6.0}}",1.0,"[[3 0]
 [0 3]]",24,24,3,0,0,3,0 days 00:00:13.623935
random_forest,"{'bootstrap': True, 'max_depth': 3, 'max_features': 2, 'n_estimators': 50}",0.9541666666666667,"{'0': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3.0}, '1': {'precision': 0.5, 'recall': 0.6666666666666666, 'f1-score': 0.5714285714285715, 'support': 3.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.48571428571428577, 'support': 6.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.48571428571428577, 'support': 6.0}}",0.5,"[[2 1]
 [2 1]]",24,24,2,1,2,1,0 days 00:00:01.132871
